2021-07-01T14:45:19,2021-07-01T14:55:59,111,Esterinportti,075,Korjaamo,2093,636
2021-07-01T14:45:15,2021-07-01T14:54:17,006,Hietalahdentori,064,Tyynenmerenkatu,1492,537
2021-07-01T14:45:14,2021-07-01T15:12:25,101,Munkkivuoren ostoskeskus,022,Rautatientori / länsi,6074,1627
2021-07-01T14:45:09,2021-07-01T14:57:49,024,Mannerheimintie,071,Hietaniemenkatu,2213,755
2021-07-01T14:45:04,2021-07-01T14:48:40,711,Kirjurinkuja,731,Leppävaarankäytävä,1094,216
2021-07-01T14:45:01,2021-07-01T15:19:27,249,Isosaarentie,123,Näkinsilta,7561,2061
2021-07-01T14:45:00,2021-07-01T14:57:18,123,Näkinsilta,161,Eteläesplanadi,2080,727
2021-07-01T14:44:55,2021-07-01T14:45:03,207,Vanha Viertotie,207,Vanha Viertotie,0,6
2021-07-01T14:44:55,2021-07-01T15:02:26,110,Maistraatintori,104,Kriikunakuja,2770,1047
2021-07-01T14:44:52,2021-07-01T15:03:42,227,Kylävoudintie,137,Arabian kauppakeskus,3738,1126
2021-07-01T14:44:50,2021-07-01T14:54:51,142,Koskelantie,133,Paavalinpuisto,1829,597
2021-07-01T14:44:40,2021-07-01T15:22:05,059,Salmisaarenranta,113,Pasilan asema,11633,2241
2021-07-01T14:44:38,2021-07-01T15:06:18,111,Esterinportti,101,Munkkivuoren ostoskeskus,3965,1299
2021-07-01T14:44:36,2021-07-01T14:54:54,144,Käpyläntie,232,Oulunkylän asema,2119,614
2021-07-01T14:44:32,2021-07-01T14:59:12,082,Töölöntulli,023,Kiasma,2656,876
2021-07-01T14:44:30,2021-07-01T14:50:27,202,Merihaka,126,Kalasatama (M),1278,354
2021-07-01T14:44:29,2021-07-01T14:50:47,625,Suomenlahdentie,629,Piispanportti,1033,373
2021-07-01T14:44:28,2021-07-01T14:54:24,123,Näkinsilta,129,Pernajantie,1909,591
2021-07-01T14:44:27,2021-07-01T15:08:45,210,Pajamäki,214,Valimon asema,2638,1453
2021-07-01T14:44:25,2021-07-01T14:57:41,163,Lehtisaarentie,056,Luoteisväylä,2460,795
2021-07-01T14:44:22,2021-07-01T14:57:30,163,Lehtisaarentie,056,Luoteisväylä,2445,786
2021-07-01T14:44:22,2021-07-01T14:58:51,314,Lokitie,274,Voikukantie,3211,868
2021-07-01T14:44:22,2021-07-01T15:07:46,224,Vesakkotie,134,Haukilahdenkatu,5276,1403
2021-07-01T14:44:13,2021-07-01T14:57:09,219,Näyttelijäntie,396,Malminkartanonhuippu,3406,772
2021-07-01T14:44:12,2021-07-01T14:47:39,136,Sofianlehdonkatu,135,Velodrominrinne,614,202
2021-07-01T14:44:10,2021-07-01T15:10:49,306,Kauppakeskus Columbus,302,Sumukuja,950,1598
2021-07-01T14:44:03,2021-07-01T14:56:05,013,Merisotilaantori,019,Rautatientori / itä,2256,718
2021-07-01T14:43:59,2021-07-01T15:04:08,111,Esterinportti,071,Hietaniemenkatu,3360,1208
2021-07-01T14:43:57,2021-07-01T15:06:44,589,Haukilahdenranta,401,Koivusaari (M),5525,1362
2021-07-01T14:43:57,2021-07-01T15:08:37,210,Pajamäki,214,Valimon asema,2664,1476
2021-07-01T14:43:52,2021-07-01T14:55:26,125,Arielinkatu,243,Mustikkamaa,1186,689
2021-07-01T14:43:51,2021-07-01T15:12:15,027,Eerikinkatu,008,Vanha kirkkopuisto,1023,1698
2021-07-01T14:43:51,2021-07-01T14:52:04,005,Sepänkatu,019,Rautatientori / itä,1978,488
2021-07-01T14:43:47,2021-07-01T15:04:16,162,Leppäsuonaukio,162,Leppäsuonaukio,3163,1225
2021-07-01T14:43:46,2021-07-01T14:52:29,575,Tontunmäentie,581,Niittykumpu (M),1026,522
2021-07-01T14:43:42,2021-07-01T14:54:30,501,Hanasaari,505,Westendinasema,2089,648
2021-07-01T14:43:41,2021-07-01T14:50:59,041,Ympyrätalo,121,Vilhonvuorenkatu,1451,434
2021-07-01T14:43:40,2021-07-01T14:51:31,032,Eläinmuseo,030,Itämerentori,1498,467
2021-07-01T14:43:38,2021-07-01T14:51:05,122,Lintulahdenkatu,124,Isoisänsilta,1272,445
2021-07-01T14:43:37,2021-07-01T14:52:22,039,Ooppera,082,Töölöntulli,1357,521
2021-07-01T14:43:30,2021-07-01T14:56:58,019,Rautatientori / itä,123,Näkinsilta,1525,805
2021-07-01T14:43:21,2021-07-01T15:23:05,126,Kalasatama (M),054,Gyldenintie,8792,2387
2021-07-01T14:43:17,2021-07-01T14:49:09,585,Haukilahdenaukio,621,Hauenkalliontie,1188,353
2021-07-01T14:43:15,2021-07-01T14:57:45,080,Jäähalli,122,Lintulahdenkatu,3194,872
2021-07-01T14:43:14,2021-07-01T14:57:06,212,Tunnelitie,113,Pasilan asema,3332,827
2021-07-01T14:43:13,2021-07-01T14:52:12,019,Rautatientori / itä,122,Lintulahdenkatu,2111,536
2021-07-01T14:43:12,2021-07-01T14:58:22,063,Jätkäsaarenlaituri,024,Mannerheimintie,1897,907
2021-07-01T14:43:11,2021-07-01T14:48:47,161,Eteläesplanadi,012,Kanavaranta,705,335
2021-07-01T14:43:10,2021-07-01T14:52:21,039,Ooppera,082,Töölöntulli,1355,546
2021-07-01T14:43:08,2021-07-01T15:16:09,348,Siltamäki,347,Sateenkaarentie,5364,1977
2021-07-01T14:43:06,2021-07-01T14:57:25,163,Lehtisaarentie,056,Luoteisväylä,2605,858
2021-07-01T14:43:05,2021-07-01T14:55:30,127,Teurastamo,293,Korkeasaari,1723,741
2021-07-01T14:43:05,2021-07-01T14:59:52,092,Saunalahdentie,072,Eteläinen Hesperiankatu,3830,1003
2021-07-01T14:43:02,2021-07-01T14:47:21,141,Intiankatu,137,Arabian kauppakeskus,867,255
2021-07-01T14:42:58,2021-07-01T14:45:19,140,Verkatehtaanpuisto,140,Verkatehtaanpuisto,10,136
2021-07-01T14:42:58,2021-07-01T14:52:25,579,Niittymaa,629,Piispanportti,2528,566
2021-07-01T14:42:55,2021-07-01T14:49:06,585,Haukilahdenaukio,621,Hauenkalliontie,1184,369
2021-07-01T14:42:54,2021-07-01T15:02:20,239,Viikin tiedepuisto,142,Koskelantie,4171,1162
2021-07-01T14:42:52,2021-07-01T14:49:36,126,Kalasatama (M),087,Kustaankatu,1337,399
2021-07-01T14:42:51,2021-07-01T14:53:42,071,Hietaniemenkatu,030,Itämerentori,1717,647
2021-07-01T14:42:50,2021-07-01T14:50:55,024,Mannerheimintie,037,Töölönkatu,1162,483
2021-07-01T14:42:46,2021-07-01T15:01:53,030,Itämerentori,201,Länsisatamankuja,1529,1142
2021-07-01T14:42:43,2021-07-01T14:56:45,006,Hietalahdentori,069,Kalevankatu,804,836
2021-07-01T14:42:43,2021-07-01T14:55:33,127,Teurastamo,293,Korkeasaari,1721,766
2021-07-01T14:42:39,2021-07-01T14:51:43,517,Länsituuli,505,Westendinasema,1327,541
2021-07-01T14:42:33,2021-07-01T15:03:02,232,Oulunkylän asema,113,Pasilan asema,4709,1228
2021-07-01T14:42:31,2021-07-01T14:59:08,024,Mannerheimintie,071,Hietaniemenkatu,2215,992
2021-07-01T14:42:27,2021-07-01T14:52:16,002,Laivasillankatu,019,Rautatientori / itä,1641,585
2021-07-01T14:42:27,2021-07-01T14:53:45,071,Hietaniemenkatu,030,Itämerentori,1717,673
2021-07-01T14:42:26,2021-07-01T14:55:35,064,Tyynenmerenkatu,149,Toinen linja,3849,785
2021-07-01T14:42:26,2021-07-01T14:52:46,045,Brahen kenttä,113,Pasilan asema,1835,614
2021-07-01T14:42:26,2021-07-01T14:50:48,621,Hauenkalliontie,625,Suomenlahdentie,1008,498
2021-07-01T14:42:25,2021-07-01T14:48:46,727,Ratsutori,711,Kirjurinkuja,1100,377
2021-07-01T14:42:24,2021-07-01T14:50:15,061,Länsisatamankatu,069,Kalevankatu,1490,466
2021-07-01T14:42:24,2021-07-01T14:49:31,505,Westendinasema,515,Oravannahkatori,1651,422
2021-07-01T14:42:24,2021-07-01T14:57:07,019,Rautatientori / itä,022,Rautatientori / länsi,3811,882
2021-07-01T14:42:20,2021-07-01T14:47:15,361,Huhtakuja,356,Laulurastaantie,1005,295
2021-07-01T14:42:18,2021-07-01T14:47:54,306,Kauppakeskus Columbus,304,Aurinkolahdenaukio,643,331
2021-07-01T14:42:16,2021-07-01T14:47:28,286,Mamsellimyllynkatu,291,Itäkeskus Metrovarikko,1368,309
2021-07-01T14:42:11,2021-07-01T14:45:35,579,Niittymaa,581,Niittykumpu (M),702,200
2021-07-01T14:42:11,2021-07-01T14:52:38,120,Mäkelänkatu,113,Pasilan asema,2283,626
2021-07-01T14:42:03,2021-07-01T15:02:14,239,Viikin tiedepuisto,142,Koskelantie,4208,1207
2021-07-01T14:42:01,2021-07-01T14:47:06,064,Tyynenmerenkatu,006,Hietalahdentori,1182,304
2021-07-01T14:42:00,2021-07-01T14:46:11,052,Heikkilänaukio,054,Gyldenintie,659,247
2021-07-01T14:41:59,2021-07-01T15:02:55,232,Oulunkylän asema,113,Pasilan asema,4637,1251
2021-07-01T14:41:53,2021-07-01T14:49:33,132,Hollolantie,113,Pasilan asema,1442,459
2021-07-01T14:41:47,2021-07-01T14:49:05,019,Rautatientori / itä,041,Ympyrätalo,1345,435
2021-07-01T14:41:45,2021-07-01T14:46:05,101,Munkkivuoren ostoskeskus,100,Teljäntie,812,257
2021-07-01T14:41:44,2021-07-01T14:53:24,041,Ympyrätalo,125,Arielinkatu,2199,695
2021-07-01T14:41:44,2021-07-01T14:50:46,209,Takomotie,219,Näyttelijäntie,2297,541
2021-07-01T14:41:42,2021-07-01T14:57:46,239,Viikin tiedepuisto,133,Paavalinpuisto,4729,961
2021-07-01T14:41:40,2021-07-01T14:45:21,543,Otaranta,541,"Aalto-yliopisto (M), Korkeakouluaukio",659,217
2021-07-01T14:41:35,2021-07-01T14:47:56,114,Ratapihantie,118,Fleminginkatu,1163,377
2021-07-01T14:41:30,2021-07-01T14:49:24,118,Fleminginkatu,114,Ratapihantie,1168,469
2021-07-01T14:41:30,2021-07-01T14:41:49,120,Mäkelänkatu,120,Mäkelänkatu,0,19
2021-07-01T14:41:26,2021-07-01T15:13:58,387,Kauppakeskus Kaari,371,Savela,6673,1947
2021-07-01T14:41:24,2021-07-01T14:51:04,126,Kalasatama (M),137,Arabian kauppakeskus,1978,575
2021-07-01T14:41:24,2021-07-01T15:10:22,071,Hietaniemenkatu,006,Hietalahdentori,3538,1734
2021-07-01T14:41:21,2021-07-01T15:09:06,112,Rautatieläisenkatu,124,Isoisänsilta,4126,1660
2021-07-01T14:41:17,2021-07-01T15:59:28,006,Hietalahdentori,006,Hietalahdentori,2519,4687
2021-07-01T14:41:17,2021-07-01T14:46:00,279,Puotinkylän kartano,281,Puotila (M),1035,279
2021-07-01T14:41:14,2021-07-01T14:48:59,042,Haapaniemenkatu,118,Fleminginkatu,1315,460
2021-07-01T14:41:13,2021-07-01T15:07:31,369,Pukinmäen asema,235,Katariina Saksilaisen katu,5294,1574
2021-07-01T14:41:04,2021-07-01T15:10:26,071,Hietaniemenkatu,006,Hietalahdentori,3555,1758
2021-07-01T14:41:02,2021-07-01T14:47:15,150,Töölönlahden puisto,063,Jätkäsaarenlaituri,1754,367
2021-07-01T14:41:00,2021-07-01T15:01:55,549,Maarinranta,549,Maarinranta,1786,1249
2021-07-01T14:40:59,2021-07-01T14:50:51,024,Mannerheimintie,073,Kesäkatu,2215,586
2021-07-01T14:40:58,2021-07-01T14:50:49,024,Mannerheimintie,073,Kesäkatu,2240,585
2021-07-01T14:40:54,2021-07-01T14:53:48,112,Rautatieläisenkatu,213,Huopalahden asema,3284,773
2021-07-01T14:40:49,2021-07-01T14:53:44,549,Maarinranta,539,"Aalto-yliopisto (M), Tietotie",1741,770
2021-07-01T14:40:48,2021-07-01T14:47:27,021,Töölönlahdenkatu,027,Eerikinkatu,751,397
2021-07-01T14:40:47,2021-07-01T14:57:54,124,Isoisänsilta,131,Elimäenkatu,2999,1023
2021-07-01T14:40:45,2021-07-01T14:50:44,036,Apollonkatu,030,Itämerentori,1992,596
2021-07-01T14:40:43,2021-07-01T14:52:25,202,Merihaka,128,Päijänteentie,1590,698
2021-07-01T14:40:36,2021-07-01T14:56:47,149,Toinen linja,041,Ympyrätalo,3634,970
2021-07-01T14:40:35,2021-07-01T14:52:06,137,Arabian kauppakeskus,113,Pasilan asema,2238,685
2021-07-01T14:40:32,2021-07-01T14:43:42,402,Bermudankuja,062,Välimerenkatu,641,185
2021-07-01T14:40:31,2021-07-01T14:46:04,049,Annankatu,019,Rautatientori / itä,922,330
2021-07-01T14:40:28,2021-07-01T14:56:01,031,Marian sairaala,045,Brahen kenttä,3381,929
2021-07-01T14:40:24,2021-07-01T14:47:07,387,Kauppakeskus Kaari,221,Thalianaukio,1423,398
2021-07-01T14:40:24,2021-07-01T14:53:04,138,Arabiankatu,121,Vilhonvuorenkatu,2891,757
2021-07-01T14:40:22,2021-07-01T15:25:33,065,Hernesaarenranta,126,Kalasatama (M),8225,2709
2021-07-01T14:40:22,2021-07-01T14:54:03,161,Eteläesplanadi,064,Tyynenmerenkatu,2542,817
2021-07-01T14:40:20,2021-07-01T15:31:18,024,Mannerheimintie,402,Bermudankuja,6971,3052
2021-07-01T14:40:16,2021-07-01T14:54:07,241,Agronominkatu,364,Ala-Malmin tori,3533,830
2021-07-01T14:40:14,2021-07-01T14:44:44,404,Sompasaari,121,Vilhonvuorenkatu,857,266
2021-07-01T14:40:12,2021-07-01T14:48:23,064,Tyynenmerenkatu,021,Töölönlahdenkatu,2471,489
2021-07-01T14:40:03,2021-07-01T14:46:42,025,Narinkka,070,Sammonpuistikko,1023,301
2021-07-01T14:40:02,2021-07-01T15:00:38,112,Rautatieläisenkatu,379,Paloheinän kirjasto,5780,1231
2021-07-01T14:39:59,2021-07-01T14:46:29,019,Rautatientori / itä,031,Marian sairaala,1441,386
2021-07-01T14:39:53,2021-07-01T14:48:09,052,Heikkilänaukio,054,Gyldenintie,1016,490
2021-07-01T14:39:52,2021-07-01T14:57:32,133,Paavalinpuisto,113,Pasilan asema,2552,1054
2021-07-01T14:39:51,2021-07-01T14:42:32,093,Torpanranta,094,Laajalahden aukio,443,156
2021-07-01T14:39:49,2021-07-01T14:44:04,064,Tyynenmerenkatu,030,Itämerentori,1129,254
