2021-06-02T11:25:34,2021-06-02T11:29:45,003,Kapteeninpuistikko,005,Sepänkatu,503,250
2021-06-02T11:25:32,2021-06-02T11:49:26,011,Unioninkatu,035,Cygnaeuksenkatu,2142,1431
2021-06-02T11:25:22,2021-06-02T11:44:23,402,Bermudankuja,041,Ympyrätalo,4878,1141
2021-06-02T11:25:21,2021-06-02T11:30:30,503,Keilalahti,503,Keilalahti,263,304
2021-06-02T11:25:20,2021-06-02T11:27:07,149,Toinen linja,041,Ympyrätalo,347,103
2021-06-02T11:25:16,2021-06-02T11:53:42,239,Viikin tiedepuisto,239,Viikin tiedepuisto,1012,1702
2021-06-02T11:25:14,2021-06-02T11:47:53,246,Tupasaarentie,082,Töölöntulli,6765,1356
2021-06-02T11:25:10,2021-06-02T11:31:08,306,Kauppakeskus Columbus,301,Aurinkotuulenkatu,1131,353
2021-06-02T11:25:09,2021-06-02T11:36:58,081,Stenbäckinkatu,081,Stenbäckinkatu,163,705
2021-06-02T11:25:09,2021-06-02T11:28:56,358,Syystie,360,Malmin asema,1159,188
2021-06-02T11:25:08,2021-06-02T11:28:19,547,Jämeräntaival,541,"Aalto-yliopisto (M), Korkeakouluaukio",684,186
2021-06-02T11:25:06,2021-06-02T11:34:32,338,Jakomäentie,330,Kontula (M),2712,564
2021-06-02T11:25:06,2021-06-02T11:41:08,080,Jäähalli,030,Itämerentori,3236,958
2021-06-02T11:25:04,2021-06-02T11:35:28,041,Ympyrätalo,012,Kanavaranta,2135,620
2021-06-02T11:24:59,2021-06-02T11:44:52,543,Otaranta,091,Seurasaari,4490,1188
2021-06-02T11:24:57,2021-06-02T11:41:04,002,Laivasillankatu,065,Hernesaarenranta,2795,961
2021-06-02T11:24:46,2021-06-02T11:31:39,040,Hakaniemi (M),018,Porthania,1072,327
2021-06-02T11:24:36,2021-06-02T11:29:17,727,Ratsutori,713,Upseerinkatu,635,276
2021-06-02T11:24:30,2021-06-02T11:29:08,521,Kulttuuriaukio,517,Länsituuli,401,277
2021-06-02T11:24:18,2021-06-02T13:13:19,012,Kanavaranta,009,Erottajan aukio,874,277
2021-06-02T11:24:16,2021-06-02T11:38:51,118,Fleminginkatu,082,Töölöntulli,2527,872
2021-06-02T11:24:08,2021-06-02T11:30:49,517,Länsituuli,557,Louhentori,1499,400
2021-06-02T11:24:01,2021-06-02T11:28:07,083,Meilahden sairaala,075,Korjaamo,1031,245
2021-06-02T11:24:00,2021-06-02T11:30:47,517,Länsituuli,557,Louhentori,1474,406
2021-06-02T11:23:57,2021-06-02T11:42:16,304,Aurinkolahdenaukio,276,Puotinharju,4793,1098
2021-06-02T11:23:55,2021-06-02T11:34:42,036,Apollonkatu,063,Jätkäsaarenlaituri,1641,643
2021-06-02T11:23:54,2021-06-02T11:53:32,232,Oulunkylän asema,150,Töölönlahden puisto,8120,1776
2021-06-02T11:23:53,2021-06-02T11:34:42,163,Lehtisaarentie,093,Torpanranta,2305,645
2021-06-02T11:23:50,2021-06-02T11:30:11,079,Uimastadion,114,Ratapihantie,1035,377
2021-06-02T11:23:42,2021-06-02T11:24:10,041,Ympyrätalo,041,Ympyrätalo,0,23
2021-06-02T11:23:41,2021-06-02T11:28:43,027,Eerikinkatu,049,Annankatu,553,298
2021-06-02T11:23:39,2021-06-02T11:44:52,004,Viiskulma,045,Brahen kenttä,3724,1268
2021-06-02T11:23:28,2021-06-02T11:29:32,037,Töölönkatu,022,Rautatientori / länsi,1278,362
2021-06-02T11:23:28,2021-06-02T11:32:00,235,Katariina Saksilaisen katu,138,Arabiankatu,1646,512
2021-06-02T11:23:25,2021-06-02T11:28:41,012,Kanavaranta,020,Kaisaniemenpuisto,1249,312
2021-06-02T11:23:24,2021-06-02T11:45:57,015,Ritarikatu,131,Elimäenkatu,4425,1349
2021-06-02T11:23:22,2021-06-02T11:37:17,023,Kiasma,061,Länsisatamankatu,2544,832
2021-06-02T11:23:18,2021-06-02T11:32:27,017,Varsapuistikko,033,Kauppakorkeakoulu,1678,544
2021-06-02T11:23:02,2021-06-02T11:32:30,259,Petter Wetterin tie,253,Tammisalon aukio,2128,567
2021-06-02T11:22:56,2021-06-02T11:23:04,402,Bermudankuja,402,Bermudankuja,0,7
2021-06-02T11:22:41,2021-06-02T11:37:38,321,Vartioharjuntie,281,Puotila (M),1537,892
2021-06-02T11:22:32,2021-06-02T11:27:05,066,Ehrenströmintie,001,Kaivopuisto,626,272
